id,slug,name,category,categoryId,type,priceRange,pricingModel,purchaseMode,summary,marketingHeadline,tags,recommendedUpsells,riskLevel,deliveryEffort
password_security_checkup,password-security-checkup,Password Security Checkup,Quick Fixes,quick-fixes,service,$49-$99,one_time_or_project,consultation_or_checkout,"Review password habits, shared account risks, and password manager readiness.",Password Security Checkup from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
mfa_setup_session,mfa-setup-session,MFA Setup Session,Quick Fixes,quick-fixes,service,$75-$150,one_time_or_project,consultation_or_checkout,Configure or guide multi-factor authentication for critical business accounts.,MFA Setup Session from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
phishing_readiness_mini_audit,phishing-readiness-mini-audit,Phishing Readiness Mini Audit,Quick Fixes,quick-fixes,service,$99-$199,one_time_or_project,consultation_or_checkout,Review basic email scam readiness and staff handling practices.,Phishing Readiness Mini Audit from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
security_score_snapshot,security-score-snapshot,Security Score Snapshot,Quick Fixes,quick-fixes,service,$99-$249,one_time_or_project,consultation_or_checkout,"Create a lightweight cyber posture snapshot covering identity, endpoint, backup, email, and admin risk.",Security Score Snapshot from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
admin_account_cleanup,admin-account-cleanup,Admin Account Cleanup,Quick Fixes,quick-fixes,service,$99-$299,one_time_or_project,consultation_or_checkout,"Identify unnecessary admin rights, stale admin accounts, and shared privileged logins.",Admin Account Cleanup from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
business_email_safety_check,business-email-safety-check,Business Email Safety Check,Quick Fixes,quick-fixes,service,$99-$249,one_time_or_project,consultation_or_checkout,"Review email authentication, MFA, mailbox forwarding, and obvious mailbox risk.",Business Email Safety Check from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
remote_work_safety_check,remote-work-safety-check,Remote Work Safety Check,Quick Fixes,quick-fixes,service,$99-$249,one_time_or_project,consultation_or_checkout,"Review remote access, MFA, device posture, and unsafe remote desktop exposure.",Remote Work Safety Check from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
basic_incident_readiness_checklist,basic-incident-readiness-checklist,Basic Incident Readiness Checklist,Quick Fixes,quick-fixes,service,$99-$199,one_time_or_project,consultation_or_checkout,Create a lightweight incident contact sheet and first-response checklist.,Basic Incident Readiness Checklist from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
website_uptime_monitor_setup,website-uptime-monitor-setup,Website Uptime Monitor Setup,Quick Fixes,quick-fixes,service,$49-$149,one_time_or_project,consultation_or_checkout,Set up basic website availability monitoring and alert routing.,Website Uptime Monitor Setup from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
printer_scanner_setup,printer-scanner-setup,Printer / Scanner Setup,Quick Fixes,quick-fixes,service,$75-$175,one_time_or_project,consultation_or_checkout,Install or troubleshoot a business printer or scanner workflow.,Printer / Scanner Setup from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
