priority,module_id,module,slug,epic,story,target_files
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,write deep spec,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,create migration and RLS,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,add validator/service/API route,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,register API route,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,add SDK wrapper,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,add portal UI,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,add worker task if needed,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,add tests/E2E,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,add docs/runbook,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
P1,1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,run audit prompt and remediate,apps/api/src/routes/multi-tenant-msp-client-portal.ts; apps/api/src/validators/multi-tenant-msp-client-portal.ts; packages/sdk/src/multi-tenant-msp-client-portal.ts; apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx; supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql
