productId,productName,category,stepNumber,step
password_security_checkup,Password Security Checkup,Quick Fixes,1,Review purchase and clarify exact scope.
password_security_checkup,Password Security Checkup,Quick Fixes,2,Create service ticket and confirm safe access method.
password_security_checkup,Password Security Checkup,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
password_security_checkup,Password Security Checkup,Quick Fixes,4,"Document findings, changes, and remaining gaps."
password_security_checkup,Password Security Checkup,Quick Fixes,5,Provide customer summary and practical next steps.
password_security_checkup,Password Security Checkup,Quick Fixes,6,Complete internal QA checklist.
password_security_checkup,Password Security Checkup,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
mfa_setup_session,MFA Setup Session,Quick Fixes,1,Review purchase and clarify exact scope.
mfa_setup_session,MFA Setup Session,Quick Fixes,2,Create service ticket and confirm safe access method.
mfa_setup_session,MFA Setup Session,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
mfa_setup_session,MFA Setup Session,Quick Fixes,4,"Document findings, changes, and remaining gaps."
mfa_setup_session,MFA Setup Session,Quick Fixes,5,Provide customer summary and practical next steps.
mfa_setup_session,MFA Setup Session,Quick Fixes,6,Complete internal QA checklist.
mfa_setup_session,MFA Setup Session,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
phishing_readiness_mini_audit,Phishing Readiness Mini Audit,Quick Fixes,1,Review purchase and clarify exact scope.
phishing_readiness_mini_audit,Phishing Readiness Mini Audit,Quick Fixes,2,Create service ticket and confirm safe access method.
phishing_readiness_mini_audit,Phishing Readiness Mini Audit,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
phishing_readiness_mini_audit,Phishing Readiness Mini Audit,Quick Fixes,4,"Document findings, changes, and remaining gaps."
phishing_readiness_mini_audit,Phishing Readiness Mini Audit,Quick Fixes,5,Provide customer summary and practical next steps.
phishing_readiness_mini_audit,Phishing Readiness Mini Audit,Quick Fixes,6,Complete internal QA checklist.
phishing_readiness_mini_audit,Phishing Readiness Mini Audit,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
security_score_snapshot,Security Score Snapshot,Quick Fixes,1,Review purchase and clarify exact scope.
security_score_snapshot,Security Score Snapshot,Quick Fixes,2,Create service ticket and confirm safe access method.
security_score_snapshot,Security Score Snapshot,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
security_score_snapshot,Security Score Snapshot,Quick Fixes,4,"Document findings, changes, and remaining gaps."
security_score_snapshot,Security Score Snapshot,Quick Fixes,5,Provide customer summary and practical next steps.
security_score_snapshot,Security Score Snapshot,Quick Fixes,6,Complete internal QA checklist.
security_score_snapshot,Security Score Snapshot,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
admin_account_cleanup,Admin Account Cleanup,Quick Fixes,1,Review purchase and clarify exact scope.
admin_account_cleanup,Admin Account Cleanup,Quick Fixes,2,Create service ticket and confirm safe access method.
admin_account_cleanup,Admin Account Cleanup,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
admin_account_cleanup,Admin Account Cleanup,Quick Fixes,4,"Document findings, changes, and remaining gaps."
admin_account_cleanup,Admin Account Cleanup,Quick Fixes,5,Provide customer summary and practical next steps.
admin_account_cleanup,Admin Account Cleanup,Quick Fixes,6,Complete internal QA checklist.
admin_account_cleanup,Admin Account Cleanup,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
business_email_safety_check,Business Email Safety Check,Quick Fixes,1,Review purchase and clarify exact scope.
business_email_safety_check,Business Email Safety Check,Quick Fixes,2,Create service ticket and confirm safe access method.
business_email_safety_check,Business Email Safety Check,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
