id,module,slug,category,impact,users,components,api_route,web_route,sdk_file,worker_task,migration,feature_doc,runbook
1,Multi-Tenant MSP Client Portal,multi-tenant-msp-client-portal,client-success,Very High,"Client owners, internal MSP admins, client admins, technicians","api,web,sdk,db",apps/api/src/routes/multi-tenant-msp-client-portal.ts,apps/web/app/(portal)/portal/multi-tenant-msp-client-portal/page.tsx,packages/sdk/src/multi-tenant-msp-client-portal.ts,,supabase/migrations/<timestamp>_multi_tenant_msp_client_portal.sql,docs/features/multi-tenant-msp-client-portal.md,docs/runbooks/multi-tenant-msp-client-portal.md
2,Client Onboarding Command Center,client-onboarding-command-center,operations,Very High,"MSP onboarding lead, client sponsor, technician","api,web,sdk,db",apps/api/src/routes/client-onboarding-command-center.ts,apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx,packages/sdk/src/client-onboarding-command-center.ts,,supabase/migrations/<timestamp>_client_onboarding_command_center.sql,docs/features/client-onboarding-command-center.md,docs/runbooks/client-onboarding-command-center.md
3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,Very High,"Security admin, MSP admin, client technical contact","api,web,sdk,worker,db",apps/api/src/routes/m365-tenant-hardening-scanner.ts,apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx,packages/sdk/src/m365-tenant-hardening-scanner.ts,apps/worker/src/tasks/m365-tenant-hardening-scanner.ts,supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql,docs/features/m365-tenant-hardening-scanner.md,docs/runbooks/m365-tenant-hardening-scanner.md
4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,High,"Sales engineer, client office manager, project lead","api,web,sdk,db",apps/api/src/routes/isp-phone-network-consolidation-assessment.ts,apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx,packages/sdk/src/isp-phone-network-consolidation-assessment.ts,,supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql,docs/features/isp-phone-network-consolidation-assessment.md,docs/runbooks/isp-phone-network-consolidation-assessment.md
5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,High,"Field technician, project lead, client stakeholder","api,web,sdk,db",apps/api/src/routes/unifi-site-survey-deployment-planner.ts,apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx,packages/sdk/src/unifi-site-survey-deployment-planner.ts,,supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql,docs/features/unifi-site-survey-deployment-planner.md,docs/runbooks/unifi-site-survey-deployment-planner.md
6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,High,"MSP owner, compliance reviewer, technician","api,web,sdk,db",apps/api/src/routes/msp-sop-library-compliance-mapper.ts,apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx,packages/sdk/src/msp-sop-library-compliance-mapper.ts,,supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql,docs/features/msp-sop-library-compliance-mapper.md,docs/runbooks/msp-sop-library-compliance-mapper.md
7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,Very High,"Incident lead, technician, client executive","api,web,sdk,db",apps/api/src/routes/security-incident-response-runbook-app.ts,apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx,packages/sdk/src/security-incident-response-runbook-app.ts,,supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql,docs/features/security-incident-response-runbook-app.md,docs/runbooks/security-incident-response-runbook-app.md
8,Vendor SaaS Subscription Audit Portal,vendor-saas-subscription-audit-portal,finance-ops,High,"MSP owner, client finance contact","api,web,sdk,worker,db",apps/api/src/routes/vendor-saas-subscription-audit-portal.ts,apps/web/app/(portal)/portal/vendor-saas-subscription-audit-portal/page.tsx,packages/sdk/src/vendor-saas-subscription-audit-portal.ts,apps/worker/src/tasks/vendor-saas-subscription-audit-portal.ts,supabase/migrations/<timestamp>_vendor_saas_subscription_audit_portal.sql,docs/features/vendor-saas-subscription-audit-portal.md,docs/runbooks/vendor-saas-subscription-audit-portal.md
9,Client Asset Warranty Tracker,client-asset-warranty-tracker,asset-management,High,"Technician, client admin, procurement lead","api,web,sdk,db",apps/api/src/routes/client-asset-warranty-tracker.ts,apps/web/app/(portal)/portal/client-asset-warranty-tracker/page.tsx,packages/sdk/src/client-asset-warranty-tracker.ts,,supabase/migrations/<timestamp>_client_asset_warranty_tracker.sql,docs/features/client-asset-warranty-tracker.md,docs/runbooks/client-asset-warranty-tracker.md
10,MSP Proposal Builder Pricing Engine,msp-proposal-builder-pricing-engine,sales,Very High,"MSP owner, sales engineer","api,web,sdk,db",apps/api/src/routes/msp-proposal-builder-pricing-engine.ts,apps/web/app/(portal)/portal/msp-proposal-builder-pricing-engine/page.tsx,packages/sdk/src/msp-proposal-builder-pricing-engine.ts,,supabase/migrations/<timestamp>_msp_proposal_builder_pricing_engine.sql,docs/features/msp-proposal-builder-pricing-engine.md,docs/runbooks/msp-proposal-builder-pricing-engine.md
11,QBR Executive Report Generator,qbr-executive-report-generator,client-success,Very High,"MSP owner, client executive","api,web,sdk,worker,db",apps/api/src/routes/qbr-executive-report-generator.ts,apps/web/app/(portal)/portal/qbr-executive-report-generator/page.tsx,packages/sdk/src/qbr-executive-report-generator.ts,apps/worker/src/tasks/qbr-executive-report-generator.ts,supabase/migrations/<timestamp>_qbr_executive_report_generator.sql,docs/features/qbr-executive-report-generator.md,docs/runbooks/qbr-executive-report-generator.md
12,Client Project Tracker,client-project-tracker,delivery,High,"Project lead, client stakeholder, technician","api,web,sdk,db",apps/api/src/routes/client-project-tracker.ts,apps/web/app/(portal)/portal/client-project-tracker/page.tsx,packages/sdk/src/client-project-tracker.ts,,supabase/migrations/<timestamp>_client_project_tracker.sql,docs/features/client-project-tracker.md,docs/runbooks/client-project-tracker.md
13,MSP Automation Workflow Catalog,msp-automation-workflow-catalog,automation,High,"MSP admin, automation engineer","api,web,sdk,worker,db",apps/api/src/routes/msp-automation-workflow-catalog.ts,apps/web/app/(portal)/portal/msp-automation-workflow-catalog/page.tsx,packages/sdk/src/msp-automation-workflow-catalog.ts,apps/worker/src/tasks/msp-automation-workflow-catalog.ts,supabase/migrations/<timestamp>_msp_automation_workflow_catalog.sql,docs/features/msp-automation-workflow-catalog.md,docs/runbooks/msp-automation-workflow-catalog.md
14,DNS Domain Cloudflare Health Monitor,dns-domain-cloudflare-health-monitor,infrastructure,High,"MSP admin, web/infrastructure operator","api,web,sdk,worker,db",apps/api/src/routes/dns-domain-cloudflare-health-monitor.ts,apps/web/app/(portal)/portal/dns-domain-cloudflare-health-monitor/page.tsx,packages/sdk/src/dns-domain-cloudflare-health-monitor.ts,apps/worker/src/tasks/dns-domain-cloudflare-health-monitor.ts,supabase/migrations/<timestamp>_dns_domain_cloudflare_health_monitor.sql,docs/features/dns-domain-cloudflare-health-monitor.md,docs/runbooks/dns-domain-cloudflare-health-monitor.md
15,Backup Disaster Recovery Review Dashboard,backup-disaster-recovery-review-dashboard,resilience,High,"MSP admin, client leadership","api,web,sdk,worker,db",apps/api/src/routes/backup-disaster-recovery-review-dashboard.ts,apps/web/app/(portal)/portal/backup-disaster-recovery-review-dashboard/page.tsx,packages/sdk/src/backup-disaster-recovery-review-dashboard.ts,apps/worker/src/tasks/backup-disaster-recovery-review-dashboard.ts,supabase/migrations/<timestamp>_backup_disaster_recovery_review_dashboard.sql,docs/features/backup-disaster-recovery-review-dashboard.md,docs/runbooks/backup-disaster-recovery-review-dashboard.md
16,Helpdesk Identity Verification Anti-Vishing Tool,helpdesk-identity-verification-anti-vishing-tool,security,Very High,"Service desk, client authorized contacts","api,web,sdk,db",apps/api/src/routes/helpdesk-identity-verification-anti-vishing-tool.ts,apps/web/app/(portal)/portal/helpdesk-identity-verification-anti-vishing-tool/page.tsx,packages/sdk/src/helpdesk-identity-verification-anti-vishing-tool.ts,,supabase/migrations/<timestamp>_helpdesk_identity_verification_anti_vishing_tool.sql,docs/features/helpdesk-identity-verification-anti-vishing-tool.md,docs/runbooks/helpdesk-identity-verification-anti-vishing-tool.md
17,Client Knowledge Base Self-Service Assistant,client-knowledge-base-self-service-assistant,support,High,"Client end users, service desk","api,web,sdk,db",apps/api/src/routes/client-knowledge-base-self-service-assistant.ts,apps/web/app/(portal)/portal/client-knowledge-base-self-service-assistant/page.tsx,packages/sdk/src/client-knowledge-base-self-service-assistant.ts,,supabase/migrations/<timestamp>_client_knowledge_base_self_service_assistant.sql,docs/features/client-knowledge-base-self-service-assistant.md,docs/runbooks/client-knowledge-base-self-service-assistant.md
18,Compliance Readiness Lite for Small Businesses,compliance-readiness-lite-for-small-businesses,advisory,High,"MSP advisor, business owner","api,web,sdk,db",apps/api/src/routes/compliance-readiness-lite-for-small-businesses.ts,apps/web/app/(portal)/portal/compliance-readiness-lite-for-small-businesses/page.tsx,packages/sdk/src/compliance-readiness-lite-for-small-businesses.ts,,supabase/migrations/<timestamp>_compliance_readiness_lite_for_small_businesses.sql,docs/features/compliance-readiness-lite-for-small-businesses.md,docs/runbooks/compliance-readiness-lite-for-small-businesses.md
19,Open Findings Audit Remediation Tracker,open-findings-audit-remediation-tracker,governance,Very High,"MSP owner, remediation owner, auditor","api,web,sdk,db",apps/api/src/routes/open-findings-audit-remediation-tracker.ts,apps/web/app/(portal)/portal/open-findings-audit-remediation-tracker/page.tsx,packages/sdk/src/open-findings-audit-remediation-tracker.ts,,supabase/migrations/<timestamp>_open_findings_audit_remediation_tracker.sql,docs/features/open-findings-audit-remediation-tracker.md,docs/runbooks/open-findings-audit-remediation-tracker.md
20,Internal MSP Business OS Dashboard,internal-msp-business-os-dashboard,operations,Very High,"MSP owner, operations lead","api,web,sdk,worker,db",apps/api/src/routes/internal-msp-business-os-dashboard.ts,apps/web/app/(portal)/portal/internal-msp-business-os-dashboard/page.tsx,packages/sdk/src/internal-msp-business-os-dashboard.ts,apps/worker/src/tasks/internal-msp-business-os-dashboard.ts,supabase/migrations/<timestamp>_internal_msp_business_os_dashboard.sql,docs/features/internal-msp-business-os-dashboard.md,docs/runbooks/internal-msp-business-os-dashboard.md
21,AI Ticket Intake Triage Assistant,ai-ticket-intake-triage-assistant,support-ai,Very High,"Service desk, client users","api,web,sdk,db",apps/api/src/routes/ai-ticket-intake-triage-assistant.ts,apps/web/app/(portal)/portal/ai-ticket-intake-triage-assistant/page.tsx,packages/sdk/src/ai-ticket-intake-triage-assistant.ts,,supabase/migrations/<timestamp>_ai_ticket_intake_triage_assistant.sql,docs/features/ai-ticket-intake-triage-assistant.md,docs/runbooks/ai-ticket-intake-triage-assistant.md
22,License Optimizer Seat Reclaimer,license-optimizer-seat-reclaimer,finance-ops,Very High,"MSP admin, client finance/IT contact","api,web,sdk,worker,db",apps/api/src/routes/license-optimizer-seat-reclaimer.ts,apps/web/app/(portal)/portal/license-optimizer-seat-reclaimer/page.tsx,packages/sdk/src/license-optimizer-seat-reclaimer.ts,apps/worker/src/tasks/license-optimizer-seat-reclaimer.ts,supabase/migrations/<timestamp>_license_optimizer_seat_reclaimer.sql,docs/features/license-optimizer-seat-reclaimer.md,docs/runbooks/license-optimizer-seat-reclaimer.md
23,Email Deliverability DMARC Coach,email-deliverability-dmarc-coach,security,High,"MSP admin, domain owner","api,web,sdk,worker,db",apps/api/src/routes/email-deliverability-dmarc-coach.ts,apps/web/app/(portal)/portal/email-deliverability-dmarc-coach/page.tsx,packages/sdk/src/email-deliverability-dmarc-coach.ts,apps/worker/src/tasks/email-deliverability-dmarc-coach.ts,supabase/migrations/<timestamp>_email_deliverability_dmarc_coach.sql,docs/features/email-deliverability-dmarc-coach.md,docs/runbooks/email-deliverability-dmarc-coach.md
